name,class
(:,affect
):,affect
:(,affect
:),affect
abandon,affect
abuse,affect
abusi,affect
accept,affect
accepta,affect
accepted,affect
accepting,affect
accepts,affect
ache,affect
aching,affect
active,affect
actively,affect
admir,affect
ador,affect
advantag,affect
adventur,affect
advers,affect
affection,affect
afraid,affect
aggravat,affect
aggress,affect
aggressed,affect
aggresses,affect
aggressing,affect
aggression,affect
aggressive,affect
aggressively,affect
aggressor,affect
agitat,affect
agoniz,affect
agony,affect
agree,affect
agreeable,affect
agreeableness,affect
agreeably,affect
agreed,affect
agreeing,affect
agreement,affect
agrees,affect
alarm,affect
alone,affect
alright,affect
amaze,affect
amazing,affect
amazingly,affect
amor,affect
amus,affect
anger,affect
angrier,affect
angriest,affect
angry,affect
anguish,affect
annoy,affect
annoyed,affect
annoying,affect
annoys,affect
antagoni,affect
anxiety,affect
anxious,affect
anxiously,affect
anxiousness,affect
aok,affect
apath,affect
appall,affect
appreciat,affect
apprehens,affect
approv,affect
argh,affect
argu,affect
arrogan,affect
asham,affect
assault,affect
asshole,affect
assur,affect
attack,affect
attract,affect
attracted,affect
attracting,affect
attraction,affect
attracts,affect
aversi,affect
avoid,affect
award,affect
awesome,affect
awful,affect
awkward,affect
bad,affect
badly,affect
bashful,affect
bastard,affect
battl,affect
beaten,affect
beautiful,affect
beautify,affect
beauty,affect
beloved,affect
benefic,affect
benefit,affect
benefits,affect
benefitt,affect
benevolen,affect
benign,affect
bereave,affect
best,affect
bestest,affect
bestie,affect
besties,affect
better,affect
bitch,affect
bitter,affect
bitterly,affect
bitterness,affect
bittersweet,affect
blam,affect
bless,affect
bliss,affect
bold,affect
bolder,affect
boldest,affect
boldly,affect
bonus,affect
bore,affect
boring,affect
bother,affect
brave,affect
braved,affect
braver,affect
bravery,affect
braves,affect
bravest,affect
bright,affect
brilliance,affect
brilliant,affect
brilliantly,affect
broke,affect
brutal,affect
burden,affect
calm,affect
calmer,affect
calmest,affect
calming,affect
calmly,affect
care,affect
cared,affect
carefree,affect
careless,affect
cares,affect
caring,affect
casual,affect
casually,affect
certain,affect
challeng,affect
champ,affect
charit,affect
charm,affect
cheat,affect
cheer,affect
cheerful,affect
cheers,affect
cheery,affect
cherish,affect
chuckl,affect
clever,affect
coldly,affect
comed,affect
comfort,affect
comfortable,affect
comfortably,affect
comforting,affect
comforts,affect
compassion,affect
complain,affect
compliment,affect
concerned,affect
condemn,affect
confidence,affect
confident,affect
confidently,affect
confront,affect
confuse,affect
confused,affect
confusedly,affect
confusing,affect
considerate,affect
contempt,affect
contented,affect
contentment,affect
contradic,affect
cool,affect
courag,affect
crap,affect
crappy,affect
crazier,affect
craziest,affect
crazy,affect
create,affect
created,affect
creates,affect
creating,affect
creation,affect
creations,affect
creative,affect
creativity,affect
credit,affect
cried,affect
cries,affect
critical,affect
critici,affect
crude,affect
crudely,affect
cruel,affect
crueler,affect
cruelest,affect
cruelty,affect
crushed,affect
cry,affect
crying,affect
cunt,affect
curse,affect
cut,affect
cute,affect
cuter,affect
cutest,affect
cutie,affect
cynic,affect
damag,affect
damn,affect
danger,affect
dangerous,affect
dangerously,affect
dangers,affect
daring,affect
darlin,affect
daze,affect
dear,affect
dearly,affect
decay,affect
decent,affect
deceptive,affect
deceiv,affect
defeat,affect
defect,affect
defenc,affect
defend,affect
defense,affect
defenseless,affect
defensive,affect
defensively,affect
defensiveness,affect
definitely,affect
degrad,affect
delectabl,affect
delicate,affect
delicious,affect
deligh,affect
demean,affect
demot,affect
denial,affect
depress,affect
depriv,affect
desir,affect
despair,affect
desperat,affect
despis,affect
destroy,affect
destruct,affect
destructed,affect
destruction,affect
destructive,affect
destructiveness,affect
determina,affect
determined,affect
devastat,affect
devil,affect
devot,affect
difficult,affect
difficulties,affect
difficulty,affect
dignified,affect
dignifies,affect
dignifying,affect
dignity,affect
disadvantag,affect
disagree,affect
disappoint,affect
disaster,affect
discomfort,affect
discourag,affect
disgrac,affect
disgust,affect
dishearten,affect
dishonor,affect
disillusion,affect
dislike,affect
disliked,affect
dislikes,affect
disliking,affect
dismay,affect
disreput,affect
diss,affect
dissatisf,affect
distract,affect
distraught,affect
distress,affect
distrust,affect
disturb,affect
divin,affect
domina,affect
doom,affect
dork,affect
doubt,affect
dread,affect
dull,affect
dumb,affect
dumbass,affect
dumber,affect
dumbest,affect
dummy,affect
dump,affect
dwell,affect
eager,affect
eagerly,affect
eagerness,affect
ease,affect
easier,affect
easiest,affect
easily,affect
easiness,affect
easing,affect
easy,affect
ecsta,affect
egotis,affect
elegan,affect
embarrass,affect
emotion,affect
emotional,affect
emotions,affect
emptier,affect
emptiest,affect
emptiness,affect
empty,affect
encourag,affect
enemie,affect
enemy,affect
energ,affect
engag,affect
enjoy,affect
enrag,affect
entertain,affect
enthus,affect
envie,affect
envious,affect
envy,affect
evil,affect
excel,affect
excelled,affect
excellence,affect
excellent,affect
excellently,affect
excelling,affect
excels,affect
excite,affect
excited,affect
excitedly,affect
excitement,affect
exciting,affect
excruciat,affect
exhaust,affect
fab,affect
fabulous,affect
fabulously,affect
fabulousness,affect
fail,affect
fair,affect
fairer,affect
fairest,affect
faith,affect
fake,affect
fantasi,affect
fantastic,affect
fantastical,affect
fantastically,affect
fantasy,affect
fatal,affect
fatigu,affect
fault,affect
fav,affect
fave,affect
favor,affect
favoring,affect
favorite,affect
favors,affect
favour,affect
fear,affect
feared,affect
fearful,affect
fearing,affect
fearless,affect
fears,affect
feroc,affect
festiv,affect
feud,affect
fiery,affect
fiesta,affect
fight,affect
fine,affect
finer,affect
finest,affect
fired,affect
flatter,affect
flawless,affect
flexib,affect
flirt,affect
flirtatious,affect
flirting,affect
flirts,affect
flirty,affect
flunk,affect
foe,affect
fond,affect
fondly,affect
fondness,affect
fool,affect
fooled,affect
fooling,affect
foolish,affect
foolishly,affect
fools,affect
forbade,affect
forbid,affect
forbidden,affect
forbidding,affect
forbids,affect
forgave,affect
forgiv,affect
fortunately,affect
fought,affect
frantic,affect
freak,affect
free,affect
free-think,affect
freed,affect
freeing,affect
freely,affect
frees,affect
freethink,affect
friendlier,affect
friendliest,affect
friendly,affect
fright,affect
frustrat,affect
fuck,affect
fucked,affect
fucker,affect
fuckface,affect
fuckh,affect
fuckin,affect
fucks,affect
fucktard,affect
fucktwat,affect
fuckwad,affect
fume,affect
fuming,affect
fun,affect
funner,affect
funnest,affect
funnier,affect
funnies,affect
funniest,affect
funnily,affect
funniness,affect
funny,affect
furious,affect
fury,affect
geek,affect
genero,affect
gentle,affect
gentler,affect
gentlest,affect
gently,affect
giggl,affect
giver,affect
giving,affect
glad,affect
gladly,affect
glamor,affect
glamour,affect
gloom,affect
gloomier,affect
gloomiest,affect
gloomily,affect
gloominess,affect
gloomy,affect
glori,affect
glory,affect
goddam,affect
good,affect
good-for-nothing,affect
goodness,affect
gorgeous,affect
gorgeously,affect
gorgeousness,affect
gossip,affect
grace,affect
graced,affect
graceful,affect
graces,affect
graci,affect
grand,affect
grande,affect
gratef,affect
grati,affect
grave,affect
great,affect
greater,affect
greatest,affect
greatness,affect
greed,affect
grief,affect
griev,affect
grim,affect
grimac,affect
grimly,affect
grin,affect
grinn,affect
grins,affect
gross,affect
grossed,affect
grosser,affect
grossest,affect
grossing,affect
grossly,affect
grossness,affect
grouch,affect
grr,affect
grudg,affect
guilt,affect
guilt-trip,affect
guiltier,affect
guiltiest,affect
guilty,affect
ha,affect
hah,affect
haha,affect
handsome,affect
handsomely,affect
handsomest,affect
hangover,affect
happier,affect
happiest,affect
happily,affect
happiness,affect
happy,affect
harass,affect
harm,affect
harmed,affect
harmful,affect
harmfully,affect
harmfulness,affect
harming,affect
harmless,affect
harmon,affect
harms,affect
harsh,affect
hate,affect
hated,affect
hateful,affect
hater,affect
hates,affect
hating,affect
hatred,affect
haunted,affect
hazard,affect
hazy,affect
heal,affect
healed,affect
healer,affect
healing,affect
heals,affect
healthy,affect
heartbreak,affect
heartbroke,affect
heartfelt,affect
heartless,affect
heartwarm,affect
heaven,affect
