name,class
):,affect
3q,affect
:(,affect
:),affect
<3,affect
fuck,affect
ha,affect
love,affect
luv,affect
ok,affect
shit,affect
thx,affect
ya,affect
yeah,affect
yuck,affect
yum,affect
yummy,affect
ㄏㄏ,affect
一流,affect
一無所有,affect
七竅生煙,affect
上當,affect
上級,affect
下定決心,affect
下流,affect
下等,affect
不,affect
不仁,affect
不便,affect
不公平,affect
不准,affect
不利,affect
不友善,affect
不受,affect
不可思議,affect
不可知,affect
不善,affect
不喜歡,affect
不好,affect
不安,affect
不定,affect
不宜,affect
不小心,affect
不屑,affect
不平,affect
不幸,affect
不悅,affect
不愛,affect
不懷好意,affect
不拘小節,affect
不服,affect
不滿,affect
不滿足,affect
不爽,affect
不甘,affect
不當,affect
不知所措,affect
不祥,affect
不穩,affect
不符,affect
不耐,affect
不耐煩,affect
不要,affect
不解,affect
不貞,affect
不費力,affect
不足,affect
不適,affect
不錯,affect
不靈,affect
不順,affect
不顧,affect
不顧一切,affect
世仇,affect
丟下,affect
丟人,affect
丟人現眼,affect
丟棄,affect
丟臉,affect
中斷,affect
主動,affect
乏味,affect
乖僻,affect
乾杯,affect
乾淨,affect
亂,affect
了不起,affect
事故,affect
交往,affect
交戰,affect
享受,affect
人心惶惶,affect
仁心,affect
仁愛,affect
仁慈,affect
仁義,affect
仁術,affect
仇,affect
仇人,affect
仇恨,affect
仇敵,affect
仇殺,affect
仇視,affect
仔細,affect
他媽的,affect
付出,affect
任性,affect
仿冒,affect
伴侶,affect
伶俐,affect
低下,affect
低沉,affect
低矮,affect
低等,affect
低能,affect
低能兒,affect
低落,affect
低迷,affect
佔便宜,affect
作品,affect
作嘔,affect
作弊,affect
佳*,affect
使勁,affect
依戀,affect
侮辱,affect
侵佔,affect
侵害,affect
侵擾,affect
侵犯,affect
侵略,affect
侵略國,affect
侵襲,affect
侷促,affect
俊美,affect
俐落,affect
俗,affect
俗氣,affect
保衛,affect
保證,affect
保護,affect
信任,affect
信奉,affect
信實,affect
信心,affect
信服,affect
信義,affect
信譽,affect
信賴,affect
倒楣,affect
倒霉,affect
倔強,affect
值得,affect
值錢,affect
假裝,affect
偉大,affect
偏執,affect
偏執狂,affect
偏好,affect
偏心,affect
偏愛,affect
偏見,affect
健康,affect
健美,affect
偷,affect
偷取,affect
偷竊,affect
偽善,affect
偽造,affect
傑出,affect
傲慢,affect
傳情,affect
債務,affect
傷,affect
傷亡,affect
傷人,affect
