sentence,chapter
﻿TPRIDE & PREJUDICE.,0
"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.",1
"However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered as the rightful property of some one or other of their daughters.",1
"""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?""",1
Mr. Bennet replied that he had not.,1
"""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it.""",1
Mr. Bennet made no answer.,1
"""Do not you want to know who has taken it?""",1
cried his wife impatiently.,1
"""_You_ want to tell me, and I have no objection to hearing it.""",1
This was invitation enough.,1
"""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week.""",1
"""What is his name?""",1
"""Bingley.""",1
"""Is he married or single?""",1
"""Oh!",1
"single, my dear, to be sure!",1
A single man of large fortune; four or five thousand a year.,1
"What a fine thing for our girls!""",1
"""How so?",1
"how can it affect them?""",1
"""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome!",1
"You must know that I am thinking of his marrying one of them.""",1
"""Is that his design in settling here?""",1
"""Design!",1
"nonsense, how can you talk so!",1
"But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.""",1
"""I see no occasion for that.",1
"You and the girls may go, or you may send them by themselves, which perhaps will be still better, for as you are as handsome as any of them, Mr. Bingley might like you the best of the party.""",1
"""My dear, you flatter me.",1
"I certainly _have_ had my share of beauty, but I do not pretend to be any thing extraordinary now.",1
"When a woman has five grown up daughters, she ought to give over thinking of her own beauty.""",1
"""In such cases, a woman has not often much beauty to think of.""",1
"""But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood.""",1
"""It is more than I engage for, I assure you.""",1
"""But consider your daughters.",1
Only think what an establishment it would be for one of them.,1
"Sir William and Lady Lucas are determined to go, merely on that account, for in general you know they visit no new comers.",1
"Indeed you must go, for it will be impossible for _us_ to visit him, if you do not.""",1
"""You are over scrupulous surely.",1
"I dare say Mr. Bingley will be very glad to see you; and I will send a few lines by you to assure him of my hearty consent to his marrying which ever he chuses of the girls; though I must throw in a good word for my little Lizzy.""",1
"""I desire you will do no such thing.",1
"Lizzy is not a bit better than the others; and I am sure she is not half so handsome as Jane, nor half so good humoured as Lydia.",1
"But you are always giving _her_ the preference.""",1
"""They have none of them much to recommend them,"" replied he; ""they are all silly and ignorant like other girls; but Lizzy has something more of quickness than her sisters.""",1
"""Mr. Bennet, how can you abuse your own children in such a way?",1
You take delight in vexing me.,1
"You have no compassion on my poor nerves.""",1
"""You mistake me, my dear.",1
I have a high respect for your nerves.,1
They are my old friends.,1
"I have heard you mention them with consideration these twenty years at least.""",1
"""Ah!",1
"you do not know what I suffer.""",1
"""But I hope you will get over it, and live to see many young men of four thousand a year come into the neighbourhood.""",1
"""It will be no use to us, if twenty such should come since you will not visit them.""",1
"""Depend upon it, my dear, that when there are twenty, I will visit them all.""",1
"Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three and twenty years had been insufficient to make his wife understand his character.",1
_Her_ mind was less difficult to develope.,1
"She was a woman of mean understanding, little information, and uncertain temper.",1
When she was discontented she fancied herself nervous.,1
The business of her life was to get her daughters married; its solace was visiting and news.,1
Mr. Bennet was among the earliest of those who waited on Mr. Bingley.,2
"He had always intended to visit him, though to the last always assuring his wife that he should not go; and till the evening after the visit was paid, she had no knowledge of it.",2
It was then disclosed in the following manner.,2
"Observing his second daughter employed in trimming a hat, he suddenly addressed her with,  ""I hope Mr. Bingley will like it Lizzy.""",2
"""We are not in a way to know _what_ Mr. Bingley likes,"" said her mother resentfully, ""since we are not to visit.""",2
"""But you forget, mama,"" said Elizabeth, ""that we shall meet him at the assemblies, and that Mrs. Long has promised to introduce him.""",2
"""I do not believe Mrs. Long will do any such thing.",2
She has two nieces of her own.,2
"She is a selfish, hypocritical woman, and I have no opinion of her.""",2
"""No more have I,"" said Mr. Bennet; ""and I am glad to find that you do not depend on her serving you.""",2
"Mrs. Bennet deigned not to make any reply; but unable to contain herself, began scolding one of her daughters.",2
"""Don't keep coughing so, Kitty, for heaven's sake!",2
Have a little compassion on my nerves.,2
"You tear them to pieces.""",2
"""Kitty has no discretion in her coughs,"" said her father; ""she times them ill.""  ""I do not cough for my own amusement,"" replied Kitty fretfully.",2
"""When is your next ball to be, Lizzy?""",2
"""To-morrow fortnight.""",2
"""Aye, so it is,"" cried her mother, ""and Mrs. Long does not come back till the day before; so, it will be impossible for her to introduce him, for she will not know him herself.""",2
"""Then, my dear, you may have the advantage of your friend, and introduce Mr. Bingley to _her_.""",2
"""Impossible, Mr. Bennet, impossible, when I am not acquainted with him myself; how can you be so teazing?""",2
"""I honour your circumspection.",2
A fortnight's acquaintance is certainly very little.,2
One cannot know what a man really is by the end of a fortnight.,2
"But if _we_ do not venture, somebody else will; and after all, Mrs. Long and her nieces must stand their chance; and therefore, as she will think it an act of kindness, if you decline the office, I will take it on myself.""",2
The girls stared at their father.,2
"Mrs. Bennet said only, ""Nonsense, nonsense!""",2
"""What can be the meaning of that emphatic exclamation?""",2
cried he.,2
"""Do you consider the forms of introduction, and the stress that is laid on them, as nonsense?",2
I cannot quite agree with you _there_.,2
"What say you, Mary?",2
"for you are a young lady of deep reflection I know, and read great books, and make extracts.""",2
"Mary wished to say something very sensible, but knew not how.",2
"""While Mary is adjusting her ideas,"" he continued, ""let us return to Mr.",2
"Bingley.""",2
"""I am sick of Mr. Bingley,"" cried his wife.",2
"""I am sorry to hear _that_; but why did not you tell me so before?",2
"If I had known as much this morning, I certainly would not have called on him.",2
"It is very unlucky; but as I have actually paid the visit, we cannot escape the acquaintance now.""",2
"The astonishment of the ladies was just what he wished; that of Mrs. Bennet perhaps surpassing the rest; though when the first tumult of joy was over, she began to declare that it was what she had expected all the while.",2
"""How good it was in you, my dear Mr. Bennet!",2
But I knew I should persuade you at last.,2
I was sure you loved your girls too well to neglect such an acquaintance.,2
"Well, how pleased I am!",2
"and it is such a good joke, too, that you should have gone this morning, and never said a word about it till now.""",2
"""Now, Kitty, you may cough as much as you chuse,"" said Mr. Bennet; and, as he spoke, he left the room, fatigued with the raptures of his wife.",2
"""What an excellent father you have, girls,"" said she, when the door was shut.",2
"""I do not know how you will ever make him amends for his kindness; or me either, for that matter.",2
"At our time of life, it is not so pleasant I can tell you, to be making new acquaintance every day; but for your sakes, we would do any thing.",2
"Lydia, my love, though you _are_ the youngest, I dare say Mr. Bingley will dance with you at the next ball.""",2
"""Oh!""",2
"said Lydia stoutly, ""I am not afraid; for though I _am_ the youngest, I'm the tallest.""",2
"The rest of the evening was spent in conjecturing how soon he would return Mr. Bennet's visit, and determining when they should ask him to dinner.",2
"Not all that Mrs. Bennet, however, with the assistance of her five daughters, could ask on the subject was sufficient to draw from her husband any satisfactory description of Mr. Bingley.",3
"They attacked him in various ways; with barefaced questions, ingenious suppositions, and distant surmises; but he eluded the skill of them all; and they were at last obliged to accept the second-hand intelligence of their neighbour Lady Lucas.",3
Her report was highly favourable.,3
Sir William had been delighted with him.,3
"He was quite young, wonderfully handsome, extremely agreeable, and to crown the whole, he meant to be at the next assembly with a large party.",3
Nothing could be more delightful!,3
To be fond of dancing was a certain step towards falling in love; and very lively hopes of Mr. Bingley's heart were entertained.,3
"""If I can but see one of my daughters happily settled at Netherfield,"" said Mrs. Bennet to her husband, ""and all the others equally well married, I shall have nothing to wish for.""",3
"In a few days Mr. Bingley returned Mr. Bennet's visit, and sat about ten minutes with him in his library.",3
"He had entertained hopes of being admitted to a sight of the young ladies, of whose beauty he had heard much; but he saw only the father.",3
"The ladies were somewhat more fortunate, for they had the advantage of ascertaining from an upper window, that he wore a blue coat and rode a black horse.",3
"An invitation to dinner was soon afterwards dispatched; and already had Mrs. Bennet planned the courses that were to do credit to her housekeeping, when an answer arrived which deferred it all.",3
"Mr. Bingley was obliged to be in town the following day, and consequently unable to accept the honour of their invitation, &c. Mrs. Bennet was quite disconcerted.",3
"She could not imagine what business he could have in town so soon after his arrival in Hertfordshire; and she began to fear that he might be always flying about from one place to another, and never settled at Netherfield as he ought to be.",3
Lady Lucas quieted her fears a little by starting the idea of his being gone to London only to get a large party for the ball; and a report soon followed that Mr. Bingley was to bring twelve ladies and seven gentlemen with him to the assembly.,3
"The girls grieved over such a number of ladies; but were comforted the day before the ball by hearing, that instead of twelve, he had brought only six with him from London, his five sisters and a cousin.",3
"And when the party entered the assembly room, it consisted of only five altogether; Mr. Bingley, his two sisters, the husband of the eldest, and another young man.",3
"Mr. Bingley was good looking and gentleman-like; he had a pleasant countenance, and easy, unaffected manners.",3
"His sisters were fine women, with an air of decided fashion.",3
"His brother-in-law, Mr. Hurst, merely looked the gentleman; but his friend Mr. Darcy soon drew the attention of the room by his fine, tall person, handsome features, noble mien; and the report which was in general circulation within five minutes after his entrance, of his having ten thousand a year.",3
"The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr. Bingley, and he was looked at with great admiration for about half the evening, till his manners gave a disgust which turned the tide of his popularity; for he was discovered to be proud, to be above his company, and above being pleased; and not all his large estate in Derbyshire could then save him from having a most forbidding, disagreeable countenance, and being unworthy to be compared with his friend.",3
"Mr. Bingley had soon made himself acquainted with all the principal people in the room; he was lively and unreserved, danced every dance, was angry that the ball closed so early, and talked of giving one himself at Netherfield.",3
Such amiable qualities must speak for themselves.,3
What a contrast between him and his friend!,3
"Mr. Darcy danced only once with Mrs. Hurst and once with Miss Bingley, declined being introduced to any other lady, and spent the rest of the evening in walking about the room, speaking occasionally to one of his own party.",3
His character was decided.,3
"He was the proudest, most disagreeable man in the world, and every body hoped that he would never come there again.",3
"Amongst the most violent against him was Mrs. Bennet, whose dislike of his general behaviour, was sharpened into particular resentment, by his having slighted one of her daughters.",3
"Elizabeth Bennet had been obliged, by the scarcity of gentlemen, to sit down for two dances; and during part of that time, Mr. Darcy had been standing near enough for her to overhear a conversation between him and Mr. Bingley, who came from the dance for a few minutes, to press his friend to join it.",3
"""Come, Darcy,"" said he, ""I must have you dance.",3
I hate to see you standing about by yourself in this stupid manner.,3
"You had much better dance.""",3
"""I certainly shall not.",3
"You know how I detest it, unless I am particularly acquainted with my partner.",3
"At such an assembly as this, it would be insupportable.",3
"Your sisters are engaged, and there is not another woman in the room, whom it would not be a punishment to me to stand up with.""",3
"""I would not be so fastidious as you are,"" cried Bingley, ""for a kingdom!",3
"Upon my honour, I never met with so many pleasant girls in my life, as I have this evening; and there are several of them you see uncommonly pretty.""",3
"""_You_ are dancing with the only handsome girl in the room,"" said Mr. Darcy, looking at the eldest Miss Bennet.",3
"""Oh!",3
she is the most beautiful creature I ever beheld!,3
"But there is one of her sisters sitting down just behind you, who is very pretty, and I dare say, very agreeable.",3
"Do let me ask my partner to introduce you.""",3
"""Which do you mean?""",3
