chapter,mention,ner
1,first,ORDINAL
1,one,NUMBER
1,his,PERSON
1,he,PERSON
1,Bennet,PERSON
1,one day,DURATION
1,Netherfield Park,LOCATION
1,his,PERSON
1,him,PERSON
1,Bennet,PERSON
1,he,PERSON
1,Long,PERSON
1,she,PERSON
1,she,PERSON
1,Bennet,PERSON
1,his,PERSON
1,Long,PERSON
1,Netherfield,LOCATION
1,England,COUNTRY
1,Monday,DATE
1,four,NUMBER
1,Morris,PERSON
1,the end of next week,DATE
1,he,PERSON
1,he,PERSON
1,he,PERSON
1,his,PERSON
1,his,PERSON
1,he,PERSON
1,four,NUMBER
1,five thousand,NUMBER
1,a year,DURATION
1,Bennet,PERSON
1,his,PERSON
1,one,NUMBER
1,his,PERSON
1,his,PERSON
1,one,NUMBER
1,he,PERSON
1,him,PERSON
1,he,PERSON
1,Bingley,PERSON
1,now,DATE
1,five,NUMBER
1,she,PERSON
1,her,PERSON
1,Bingley,PERSON
1,he,PERSON
1,one,NUMBER
1,William,PERSON
1,Lady Lucas,PERSON
1,general,TITLE
1,him,PERSON
1,Bingley,PERSON
1,Lizzy,PERSON
1,him,PERSON
1,his,PERSON
1,he,PERSON
1,Lizzy,PERSON
1,Jane,PERSON
1,Lydia,PERSON
1,she,PERSON
1,her,PERSON
1,Lizzy,PERSON
1,he,PERSON
1,her,PERSON
1,Bennet,PERSON
1,twenty years,DURATION
1,four thousand,NUMBER
1,a year,DURATION
1,twenty,NUMBER
1,twenty,NUMBER
1,Bennet,PERSON
1,three,NUMBER
1,twenty years,DURATION
1,his,PERSON
1,his,PERSON
1,Her,PERSON
1,She,PERSON
1,she,PERSON
1,she,PERSON
1,her,PERSON
1,her,PERSON
2,Bennet,PERSON
2,Bingley,PERSON
2,evening,TIME
2,He,PERSON
2,him,PERSON
2,his,PERSON
2,he,PERSON
2,she,PERSON
2,second,ORDINAL
2,Bingley,PERSON
2,Lizzy,PERSON
2,his,PERSON
2,he,PERSON
2,her,PERSON
2,Bingley,PERSON
2,her,PERSON
2,Elizabeth,PERSON
2,Long,PERSON
2,him,PERSON
2,him,PERSON
2,Long,PERSON
2,two,NUMBER
2,She,PERSON
2,her,PERSON
2,She,PERSON
2,her,PERSON
2,Bennet,PERSON
2,her,PERSON
2,Bennet,PERSON
2,one,NUMBER
2,her,PERSON
2,Kitty,PERSON
2,Kitty,PERSON
2,her,PERSON
2,her,PERSON
2,she,PERSON
2,Kitty,PERSON
2,Lizzy,PERSON
2,fortnight,DURATION
2,Long,PERSON
2,the day before,DATE
2,her,PERSON
2,her,PERSON
2,him,PERSON
2,she,PERSON
2,him,PERSON
2,Bingley,PERSON
2,her,PERSON
2,Bennet,PERSON
2,him,PERSON
2,A fortnight,DURATION
2,One,NUMBER
2,the end of a fortnight,DURATION
2,Long,PERSON
2,her,PERSON
2,she,PERSON
2,Bennet,PERSON
2,he,PERSON
2,Mary,PERSON
2,Mary,PERSON
2,Mary,PERSON
2,Bingley,PERSON
2,her,PERSON
2,he,PERSON
2,Bingley,PERSON
2,his,PERSON
2,this morning,TIME
2,him,PERSON
2,now,DATE
2,Bennet,PERSON
2,first,ORDINAL
2,he,PERSON
2,she,PERSON
2,she,PERSON
2,Bennet,PERSON
2,this morning,TIME
2,now,DATE
2,Now,DATE
2,Kitty,PERSON
2,Bennet,PERSON
2,he,PERSON
2,he,PERSON
2,his,PERSON
2,she,PERSON
2,him,PERSON
2,his,PERSON
2,every day,SET
2,Lydia,PERSON
2,Bingley,PERSON
2,Lydia,PERSON
2,evening,TIME
2,Bennet,PERSON
2,he,PERSON
2,him,PERSON
3,Bennet,PERSON
3,five,NUMBER
3,Bingley,PERSON
3,her,PERSON
3,her,PERSON
3,Lady Lucas,PERSON
3,him,PERSON
3,he,PERSON
3,Her,PERSON
3,William,PERSON
3,him,PERSON
3,He,PERSON
3,he,PERSON
3,Bingley,PERSON
3,one,NUMBER
3,Netherfield,LOCATION
3,Bennet,PERSON
3,her,PERSON
3,a few days,DURATION
3,Bingley,PERSON
3,Bennet,PERSON
3,about ten minutes,DURATION
3,him,PERSON
3,his,PERSON
3,He,PERSON
3,he,PERSON
3,he,PERSON
3,he,PERSON
3,Bennet,PERSON
3,her,PERSON
3,Bingley,PERSON
3,the following day,DATE
3,Bennet,PERSON
3,Hertfordshire,CITY
3,one,NUMBER
3,Netherfield,LOCATION
3,She,PERSON
3,he,PERSON
3,his,PERSON
3,she,PERSON
3,he,PERSON
3,he,PERSON
3,Lucas,PERSON
3,London,CITY
3,Bingley,PERSON
3,twelve,NUMBER
3,seven,NUMBER
3,her,PERSON
3,his,PERSON
3,him,PERSON
3,the day before,DATE
3,twelve,NUMBER
3,six,NUMBER
3,London,CITY
3,five,NUMBER
3,he,PERSON
3,him,PERSON
3,his,PERSON
3,five,NUMBER
3,Bingley,PERSON
3,two,NUMBER
3,his,PERSON
3,Bingley,PERSON
3,he,PERSON
3,His,PERSON
3,Hurst,PERSON
3,Darcy,PERSON
3,general,TITLE
3,five minutes,DURATION
3,ten thousand,NUMBER
3,a year,DURATION
3,His,PERSON
3,his,PERSON
3,his,PERSON
3,his,PERSON
3,his,PERSON
3,Bingley,PERSON
3,evening,TIME
3,Derbyshire,STATE_OR_PROVINCE
3,him,PERSON
3,he,PERSON
3,he,PERSON
3,his,PERSON
3,his,PERSON
3,he,PERSON
3,his,PERSON
3,his,PERSON
3,him,PERSON
3,his,PERSON
3,Bingley,PERSON
3,principal,TITLE
3,one,NUMBER
3,Netherfield,LOCATION
3,he,PERSON
3,him,PERSON
3,his,PERSON
3,Darcy,PERSON
3,once,DATE
3,Hurst,PERSON
3,once,DATE
3,Miss Bingley,ORGANIZATION
3,evening,TIME
3,one,NUMBER
3,his,PERSON
3,His,PERSON
3,He,PERSON
3,he,PERSON
3,Bennet,PERSON
3,general,TITLE
3,one,NUMBER
3,him,PERSON
3,his,PERSON
3,his,PERSON
3,her,PERSON
3,Elizabeth Bennet,PERSON
3,two,NUMBER
3,Darcy,PERSON
3,Bingley,PERSON
3,a few minutes,DURATION
3,her,PERSON
3,him,PERSON
3,his,PERSON
3,Darcy,PERSON
3,he,PERSON
3,Bingley,PERSON
3,this evening,TIME
3,Darcy,PERSON
