chapter,word,lemma,pos,ner
0,TPRIDE,TPRIDE,NNP,O
0,&,&,CC,O
0,PREJUDICE,PREJUDICE,NNP,O
0,.,.,.,O
1,It,it,PRP,O
1,is,be,VBZ,O
1,a,a,DT,O
1,truth,truth,NN,O
1,universally,universally,RB,O
1,acknowledged,acknowledge,VBD,O
1,",",",",",",O
1,that,that,IN,O
1,a,a,DT,O
1,single,single,JJ,O
1,man,man,NN,O
1,in,in,IN,O
1,possession,possession,NN,O
1,of,of,IN,O
1,a,a,DT,O
1,good,good,JJ,O
1,fortune,fortune,NN,O
1,",",",",",",O
1,must,must,MD,O
1,be,be,VB,O
1,in,in,IN,O
1,want,want,NN,O
1,of,of,IN,O
1,a,a,DT,O
1,wife,wife,NN,O
1,.,.,.,O
1,However,however,RB,O
1,little,little,RB,O
1,known,know,VBN,O
1,the,the,DT,O
1,feelings,feeling,NNS,O
1,or,or,CC,O
1,views,view,NNS,O
1,of,of,IN,O
1,such,such,PDT,O
1,a,a,DT,O
1,man,man,NN,O
1,may,may,MD,O
1,be,be,VB,O
1,on,on,IN,O
1,his,he,PRP$,O
1,first,first,JJ,ORDINAL
1,entering,enter,VBG,O
1,a,a,DT,O
1,neighbourhood,neighbourhood,NN,O
1,",",",",",",O
1,this,this,DT,O
1,truth,truth,NN,O
1,is,be,VBZ,O
1,so,so,RB,O
1,well,well,RB,O
1,fixed,fix,VBN,O
1,in,in,IN,O
1,the,the,DT,O
1,minds,mind,NNS,O
1,of,of,IN,O
1,the,the,DT,O
1,surrounding,surround,VBG,O
1,families,family,NNS,O
1,",",",",",",O
1,that,that,IN,O
1,he,he,PRP,O
1,is,be,VBZ,O
1,considered,consider,VBN,O
1,as,as,IN,O
1,the,the,DT,O
1,rightful,rightful,JJ,O
1,property,property,NN,O
1,of,of,IN,O
1,some,some,DT,O
1,one,one,CD,NUMBER
1,or,or,CC,O
1,other,other,JJ,O
1,of,of,IN,O
1,their,they,PRP$,O
1,daughters,daughter,NNS,O
1,.,.,.,O
1,"""","""",``,O
1,My,my,PRP$,O
1,dear,dear,JJ,O
1,Mr.,Mr.,NNP,O
1,Bennet,Bennet,NNP,PERSON
1,",",",",",",O
1,"""","""",'',O
1,said,say,VBD,O
1,his,he,PRP$,O
1,lady,lady,NN,O
1,to,to,IN,O
1,him,he,PRP,O
1,one,one,CD,DURATION
1,day,day,NN,DURATION
1,",",",",",",O
1,"""","""",'',O
1,have,have,VBP,O
1,you,you,PRP,O
1,heard,hear,VBN,O
1,that,that,IN,O
